wl	n	k
0.29	1.3515	3.94644
0.291	1.36447	3.95403
0.292	1.37749	3.96155
0.293	1.39056	3.96899
0.294	1.40369	3.97637
0.295	1.41687	3.98366
0.296	1.4301	3.99088
0.297	1.44338	3.99803
0.298	1.45671	4.0051
0.299	1.47008	4.01209
0.3	1.48351	4.019
0.301	1.49697	4.02583
0.302	1.51049	4.03258
0.303	1.52404	4.03925
0.304	1.53764	4.04584
0.305	1.55128	4.05235
0.306	1.56496	4.05878
0.307	1.57868	4.06512
0.308	1.59244	4.07138
0.309	1.60623	4.07756
0.31	1.62006	4.08365
0.311	1.63392	4.08965
0.312	1.64781	4.09557
0.313	1.66174	4.1014
0.314	1.67569	4.10715
0.315	1.68968	4.11281
0.316	1.70369	4.11838
0.317	1.71773	4.12386
0.318	1.73179	4.12926
0.319	1.74588	4.13457
0.32	1.75999	4.13979
0.321	1.77412	4.14492
0.322	1.78827	4.14996
0.323	1.80244	4.15492
0.324	1.81663	4.15978
0.325	1.83083	4.16456
0.326	1.84504	4.16924
0.327	1.85927	4.17384
0.328	1.87351	4.17835
0.329	1.88776	4.18277
0.33	1.90202	4.1871
0.331	1.91629	4.19134
0.332	1.93056	4.19549
0.333	1.94484	4.19955
0.334	1.95912	4.20353
0.335	1.97341	4.20742
0.336	1.98769	4.21121
0.337	2.00198	4.21493
0.338	2.01626	4.21855
0.339	2.03054	4.22209
0.34	2.04481	4.22554
0.341	2.05908	4.2289
0.342	2.07335	4.23218
0.343	2.0876	4.23538
0.344	2.10185	4.23849
0.345	2.11609	4.24151
0.346	2.13031	4.24446
0.347	2.14452	4.24732
0.348	2.15872	4.25009
0.349	2.17291	4.25279
0.35	2.18707	4.2554
0.351	2.20123	4.25794
0.352	2.21536	4.26039
0.353	2.22947	4.26277
0.354	2.24356	4.26507
0.355	2.25764	4.26729
0.356	2.27169	4.26944
0.357	2.28571	4.27151
0.358	2.29971	4.27351
0.359	2.31369	4.27543
0.36	2.32764	4.27728
0.361	2.34157	4.27906
0.362	2.35547	4.28076
0.363	2.36934	4.2824
0.364	2.38318	4.28397
0.365	2.39699	4.28547
0.366	2.41077	4.28691
0.367	2.42452	4.28827
0.368	2.43824	4.28958
