wl	n	k
0.15	1.576956302	0
0.1567	1.5583323	0
0.1637	1.542684096	0
0.1711	1.529254271	0
0.1787	1.517949496	0
0.1867	1.508111557	0
0.1951	1.499525164	0
0.2038	1.492088051	0
0.213	1.485479696	0
0.2225	1.479720785	0
0.2325	1.474582917	0
0.2429	1.470039668	0
0.2538	1.465978065	0
0.2652	1.462345907	0
0.277	1.459121318	0
0.2894	1.456207766	0
0.3024	1.453577974	0
0.3159	1.451221991	0
0.3301	1.449080555	0
0.3449	1.447149463	0
0.3603	1.44540755	0
0.3765	1.443817169	0
0.3933	1.442383784	0
0.411	1.441069695	0
0.4294	1.439879795	0
0.4486	1.438796448	0
0.4687	1.437805705	0
0.4897	1.436900408	0
0.5116	1.436073472	0
0.5345	1.435314928	0
0.5585	1.434616613	0
0.5835	1.433976543	0
0.6096	1.433387273	0
0.637	1.432840717	0
0.6655	1.432337242	0
0.6953	1.431869642	0
0.7264	1.431434854	0
0.759	1.431027441	0
0.793	1.430646159	0
0.8285	1.43028733	0
0.8656	1.429947683	0
0.9044	1.42962426	0
0.9449	1.429315078	0
0.9872	1.429017436	0
1.031	1.428731345	0
1.078	1.428444498	0
1.126	1.428168727	0
1.176	1.427896019	0
1.229	1.42761953	0
1.284	1.427342981	0
1.342	1.427059713	0
1.402	1.426772934	0
1.465	1.42647611	0
1.53	1.426172187	0
1.599	1.425850004	0
1.67	1.425517037	0
1.745	1.425161928	0
1.823	1.424787293	0
1.905	1.424386074	0
1.99	1.423960816	0
2.079	1.423504059	0
2.173	1.423007676	0
2.27	1.422479309	0
2.372	1.421904992	0
2.478	1.42128687	0
2.589	1.420615439	0
2.705	1.419886504	0
2.826	1.419095647	0
2.953	1.418231278	0
3.085	1.417294875	0
3.223	1.416273722	0
3.367	1.415161419	0
3.518	1.413942959	0
3.676	1.412610081	0
3.84	1.41116303	0
4.012	1.409574864	0
4.192	1.407834423	0
4.38	1.4059298	0
4.576	1.403848286	0
4.781	1.401564915	0
4.995	1.399063515	0
5.219	1.396314156	0
5.453	1.39329628	0
5.697	1.389987686	0
5.952	1.386349749	0
6.219	1.382338746	0
6.498	1.377921354	0
6.789	1.373061095	0
7.093	1.367699815	0
7.41	1.361790339	0
7.742	1.355239818	0
8.089	1.347982805	0
8.452	1.339922923	0
8.83	1.33099717	0
9.226	1.321033061	0
9.639	1.309934241	0
10.07	1.297532984	0
10.52	1.283629574	0
10.99	1.267983733	0
11.49	1.249965203	0
12	1.229980117	0
