wl	n	k
8.11E-02	7.40E-01	1.16E+00
9.28E-02	8.37E-01	1.36E+00
1.04E-01	1.15E+00	1.65E+00
1.16E-01	1.51E+00	1.56E+00
1.28E-01	1.70E+00	1.25E+00
1.39E-01	1.21E+00	1.06E+00
1.51E-01	9.90E-01	1.52E+00
1.63E-01	1.14E+00	1.75E+00
1.74E-01	1.27E+00	1.96E+00
1.86E-01	1.36E+00	2.18E+00
1.98E-01	1.58E+00	2.40E+00
2.09E-01	1.90E+00	2.51E+00
2.21E-01	2.05E+00	2.50E+00
2.33E-01	2.15E+00	2.56E+00
2.44E-01	2.24E+00	2.62E+00
2.56E-01	2.46E+00	2.74E+00
2.68E-01	2.73E+00	2.70E+00
2.79E-01	2.97E+00	2.58E+00
2.91E-01	3.07E+00	2.40E+00
3.03E-01	3.04E+00	2.30E+00
3.14E-01	3.00E+00	2.25E+00
3.26E-01	2.98E+00	2.25E+00
3.38E-01	2.94E+00	2.26E+00
3.49E-01	2.87E+00	2.36E+00
3.61E-01	2.89E+00	2.59E+00
3.73E-01	2.96E+00	2.85E+00
3.84E-01	3.13E+00	3.08E+00
3.96E-01	3.57E+00	3.13E+00
4.08E-01	3.92E+00	3.17E+00
4.19E-01	4.12E+00	3.16E+00
4.31E-01	4.31E+00	3.14E+00
4.43E-01	4.59E+00	3.15E+00
4.54E-01	4.94E+00	3.11E+00
4.66E-01	5.45E+00	2.85E+00
4.78E-01	5.52E+00	2.39E+00
4.89E-01	5.65E+00	1.92E+00
5.01E-01	5.62E+00	1.56E+00
5.13E-01	5.49E+00	1.28E+00
5.24E-01	5.31E+00	1.18E+00
5.36E-01	5.20E+00	1.15E+00
5.48E-01	5.09E+00	1.12E+00
5.59E-01	4.97E+00	1.08E+00
5.71E-01	4.86E+00	1.05E+00
5.83E-01	4.80E+00	1.12E+00
5.94E-01	4.74E+00	1.22E+00
6.06E-01	4.89E+00	1.47E+00
6.18E-01	5.16E+00	1.33E+00
6.29E-01	5.25E+00	1.13E+00
6.41E-01	5.16E+00	9.75E-01
6.53E-01	5.07E+00	1.08E+00
6.64E-01	5.07E+00	1.26E+00
6.76E-01	5.62E+00	1.30E+00
6.88E-01	5.88E+00	7.12E-01
6.99E-01	5.71E+00	4.30E-01
7.11E-01	5.43E+00	3.14E-01
7.23E-01	5.25E+00	1.82E-01
7.34E-01	5.11E+00	3.91E-02
7.46E-01	5.03E+00	0.00E+00
7.58E-01	4.97E+00	0.00E+00
7.69E-01	4.90E+00	0.00E+00
7.81E-01	4.84E+00	0.00E+00
7.93E-01	4.77E+00	0.00E+00
8.04E-01	4.70E+00	0.00E+00
8.16E-01	4.65E+00	0.00E+00
8.28E-01	4.62E+00	0.00E+00
8.39E-01	4.59E+00	0.00E+00
8.51E-01	4.56E+00	0.00E+00
8.63E-01	4.53E+00	0.00E+00
8.74E-01	4.50E+00	0.00E+00
8.86E-01	4.47E+00	0.00E+00
8.98E-01	4.46E+00	0.00E+00
9.09E-01	4.45E+00	0.00E+00
9.21E-01	4.43E+00	0.00E+00
9.33E-01	4.42E+00	0.00E+00
9.44E-01	4.41E+00	0.00E+00
9.56E-01	4.39E+00	1.27E-04
9.68E-01	4.38E+00	2.87E-04
9.79E-01	4.37E+00	4.48E-04
9.91E-01	4.35E+00	6.11E-04
1.00E+00	4.34E+00	7.74E-04
1.01E+00	4.32E+00	9.38E-04
1.03E+00	4.31E+00	1.10E-03
1.04E+00	4.30E+00	1.27E-03
1.05E+00	4.30E+00	1.43E-03
1.06E+00	4.30E+00	1.60E-03
1.07E+00	4.29E+00	1.76E-03
1.08E+00	4.29E+00	1.93E-03
1.10E+00	4.28E+00	2.09E-03
1.11E+00	4.28E+00	2.26E-03
1.12E+00	4.27E+00	2.43E-03
1.13E+00	4.27E+00	2.59E-03
1.14E+00	4.26E+00	2.76E-03
1.15E+00	4.26E+00	2.93E-03
1.17E+00	4.25E+00	3.09E-03
1.18E+00	4.25E+00	3.26E-03
1.19E+00	4.25E+00	3.43E-03
1.20E+00	4.24E+00	3.60E-03
1.21E+00	4.24E+00	3.77E-03
1.22E+00	4.23E+00	3.94E-03
1.24E+00	4.23E+00	4.11E-03
