wl	n	k
0.405	2.543431997	0
0.4193	2.516304259	0
0.4341	2.49246236	0
0.4494	2.471410228	0
0.4653	2.452633522	0
0.4817	2.43593806	0
0.4987	2.420957682	0
0.5163	2.407487025	0
0.5345	2.39534893	0
0.5534	2.384335534	0
0.5729	2.374381533	0
0.5932	2.365284085	0
0.6141	2.357043627	0
0.6358	2.349500273	0
0.6582	2.342622935	0
0.6814	2.336320612	0
0.7055	2.330520707	0
0.7304	2.325204977	0
0.7562	2.320312403	0
0.7829	2.315809462	0
0.8105	2.311664695	0
0.8391	2.307836095	0
0.8687	2.304300437	0
0.8994	2.301025497	0
0.9311	2.298002537	0
0.964	2.295195347	0
0.998	2.292597448	0
1.033	2.290199556	0
1.07	2.287926544	0
1.107	2.285885128	0
1.147	2.283902156	0
1.187	2.282119603	0
1.229	2.280433584	0
1.272	2.278877363	0
1.317	2.277407504	0
1.364	2.276021741	0
1.412	2.274742314	0
1.462	2.273535379	0
1.513	2.27241842	0
1.567	2.271344061	0
1.622	2.27034856	0
1.679	2.269407481	0
1.739	2.268502701	0
1.8	2.267660515	0
1.863	2.266861432	0
1.929	2.26609055	0
1.997	2.265357169	0
2.068	2.264647878	0
2.141	2.263969995	0
2.216	2.263319827	0
2.295	2.262678128	0
2.376	2.26205913	0
2.459	2.261459371	0
2.546	2.260862207	0
2.636	2.260272754	0
2.729	2.259688651	0
2.825	2.259107513	0
2.925	2.258521165	0
3.028	2.257933278	0
3.135	2.257335854	0
3.246	2.256726706	0
3.361	2.256103522	0
3.479	2.255469254	0
3.602	2.254810677	0
3.729	2.254130617	0
3.861	2.253421051	0
3.997	2.252684589	0
4.138	2.251912933	0
4.284	2.251102997	0
4.435	2.250251555	0
4.592	2.249349438	0
4.754	2.248398694	0
4.922	2.24738957	0
5.096	2.24631778	0
5.275	2.24518523	0
5.462	2.24396794	0
5.654	2.24268019	0
5.854	2.241296297	0
6.061	2.239816657	0
6.275	2.238234703	0
6.496	2.236543493	0
6.725	2.234727614	0
6.963	2.232770013	0
7.208	2.230677888	0
7.463	2.228415232	0
7.726	2.225988188	0
7.999	2.223365832	0
8.281	2.220543805	0
8.574	2.217486397	0
8.876	2.214197552	0
9.19	2.210625517	0
9.514	2.206771599	0
9.85	2.202588603	0
10.2	2.198022506	0
10.56	2.193095433	0
10.93	2.187778376	0
11.32	2.18188457	0
11.72	2.175517479	0
12.13	2.16863662	0
12.56	2.161014997	0
13	2.152763688	0
